,play,bpm,volume,sync,seq,pitch,rest,varname,chord,newline,{,->,*,+,++,-,--,>,>>,<,<<,num,(,[,octave,time,},&com;,),.,],~,EOF,PROG,ELEMSR,ELEM,ELEM2,VAR,NUM2,ELEMS,SEQ,SYNC,PLAY,CHORD,SUBBODY,NOTE,SUBNOTE,OCTAVE,REST,TIME
0,SHIFT 4,SHIFT 7,SHIFT 8,SHIFT 15,SHIFT 16,SHIFT 17,SHIFT 18,SHIFT 19,SHIFT 20,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,6,13,,3,10,9,2,14,,11,,,12,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACCEPT,,,,,,,,,,,,,,,,,
2,,,,,,,,,,SHIFT 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SHIFT 4,,,,,,,,,SHIFT 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,
4,,,,,,,,,,SHIFT 26,SHIFT 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,
5,,,,,,,,,,SHIFT 27,,SHIFT 28,SHIFT 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,REDUCE 5,,REDUCE 5,REDUCE 5,SHIFT 30,SHIFT 31,SHIFT 32,SHIFT 33,SHIFT 34,SHIFT 35,SHIFT 36,SHIFT 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,SHIFT 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,SHIFT 39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,REDUCE 18,,REDUCE 18,REDUCE 18,REDUCE 18,REDUCE 18,REDUCE 18,REDUCE 18,REDUCE 18,REDUCE 18,REDUCE 18,REDUCE 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,REDUCE 19,,REDUCE 19,REDUCE 19,REDUCE 19,REDUCE 19,REDUCE 19,REDUCE 19,REDUCE 19,REDUCE 19,REDUCE 19,REDUCE 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,REDUCE 20,,REDUCE 20,REDUCE 20,REDUCE 20,REDUCE 20,REDUCE 20,REDUCE 20,REDUCE 20,REDUCE 20,REDUCE 20,REDUCE 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,REDUCE 21,,REDUCE 21,REDUCE 21,REDUCE 21,REDUCE 21,REDUCE 21,REDUCE 21,REDUCE 21,REDUCE 21,REDUCE 21,REDUCE 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
